City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
191,Srednekolymsk,RU,2021-08-07 02:49:10,67.45,153.6833,49.23,77,100,10.36,overcast clouds
192,Fort Nelson,CA,2021-08-07 02:43:10,58.8053,-122.7002,58.59,94,90,8.05,light intensity shower rain
193,Prince Rupert,CA,2021-08-07 02:45:09,54.3161,-130.3201,60.89,87,90,6.91,light rain
194,Geraldton,AU,2021-08-07 02:45:48,-28.7667,114.6,61.21,59,90,12.66,overcast clouds
195,Sawtell,AU,2021-08-07 02:49:11,-30.3833,153.1,72.19,63,0,13.8,clear sky
196,Leningradskiy,RU,2021-08-07 02:49:11,69.3833,178.4167,37.94,83,100,3.83,overcast clouds
197,Smiths Falls,CA,2021-08-07 02:49:12,44.9001,-76.0161,71.01,79,67,7.4,broken clouds
198,Uppsala,SE,2021-08-07 02:49:12,60.0,17.75,55.42,98,100,0.0,overcast clouds
199,Butaritari,KI,2021-08-07 02:49:12,3.0707,172.7902,84.38,60,0,8.08,clear sky
200,Coquimbo,CL,2021-08-07 02:44:43,-29.9533,-71.3436,53.33,93,90,3.44,overcast clouds
201,Barranca,PE,2021-08-07 02:49:13,-10.75,-77.7667,62.58,84,12,8.5,few clouds
202,Tvoroyri,FO,2021-08-07 02:49:13,61.5556,-6.8111,60.19,90,96,20.2,overcast clouds
203,Huarmey,PE,2021-08-07 02:44:44,-10.0681,-78.1522,64.31,84,5,9.86,clear sky
204,Turbat,PK,2021-08-07 02:49:14,26.0023,63.044,86.7,58,3,3.96,clear sky
205,Aklavik,CA,2021-08-07 02:44:44,68.2191,-135.0107,47.12,73,100,13.62,overcast clouds
206,Melilla,ES,2021-08-07 02:49:14,35.2937,-2.9383,82.78,34,0,9.22,clear sky
207,Iquique,CL,2021-08-07 02:46:49,-20.2208,-70.1431,59.04,74,52,2.17,broken clouds
208,Herat,AF,2021-08-07 02:49:14,34.5,62.0,80.4,16,0,13.67,clear sky
209,Tecoanapa,MX,2021-08-07 02:49:15,16.5167,-98.75,76.98,93,100,3.98,overcast clouds
210,Bambous Virieux,MU,2021-08-07 02:49:15,-20.3428,57.7575,68.25,83,20,9.22,light rain
211,Teknaf,BD,2021-08-07 02:44:45,20.8624,92.3058,81.66,83,96,9.8,heavy intensity rain
212,Tasiilaq,GL,2021-08-07 02:49:16,65.6145,-37.6368,44.76,91,100,2.73,overcast clouds
213,San Andres,CO,2021-08-07 02:40:07,12.5847,-81.7006,82.42,83,75,11.5,broken clouds
214,Atar,MR,2021-08-07 02:49:16,20.5169,-13.0499,84.61,47,19,8.41,few clouds
215,Tilichiki,RU,2021-08-07 02:44:46,60.4667,166.1,58.51,49,97,1.52,overcast clouds
216,Mayumba,GA,2021-08-07 02:49:16,-3.432,10.6554,73.33,86,100,7.87,overcast clouds
217,Eureka,US,2021-08-07 02:49:17,40.8021,-124.1637,65.35,87,79,5.01,broken clouds
218,Lasa,IT,2021-08-07 02:49:17,46.6166,10.7002,63.48,91,92,4.23,overcast clouds
219,Oranjestad,AW,2021-08-07 02:49:17,12.524,-70.027,82.35,83,20,17.27,few clouds
