City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
550,Vrangel,RU,77.85,light rain,42.7297,133.0839,"Отель ""БАЛИ"""
552,Nicoya,CR,78.35,overcast clouds,10.1483,-85.452,Guayacan Real
554,Vernon,CA,77.45,overcast clouds,50.2581,-119.2691,Prestige Vernon Lodge and Conference Centre
556,Monrovia,LR,75.79,scattered clouds,6.3005,-10.7969,Sunset Inn
558,Aksu,CN,80.94,clear sky,41.1231,80.2644,Pudong Holiday Hotel
560,Westport,US,77.31,clear sky,41.1415,-73.3579,The Westport Inn
561,Maharajganj,IN,86.36,overcast clouds,27.1333,83.5667,Pt. Deen Dayal Hostel
567,Teya,RU,75.42,overcast clouds,60.3778,92.6267,
568,Barmer,IN,83.98,broken clouds,25.75,71.3833,OYO 71911 Hotel Amber Palace
571,Sirjan,IR,77.38,few clouds,29.452,55.6814,MAPNA Building
576,Changping,CN,85.64,overcast clouds,40.2186,116.2197,Huachang Hotel
577,Kihei,US,85.26,few clouds,20.785,-156.4656,Maui Sunset
579,Kralendijk,BQ,82.38,clear sky,12.15,-68.2667,Divi Flamingo Beach Resort & Casino
583,Manaus,BR,81.09,clear sky,-3.1019,-60.025,Manaus Hotéis Millennium
591,Aden,YE,82.9,clear sky,12.7794,45.0367,Sama Emirate Hotel
593,Dahra,DZ,76.39,clear sky,36.2546,0.8519,Ein Mtabol
594,Maningrida,AU,84.27,clear sky,-12.0667,134.2667,Dhukurrdji Lodge
599,Ipojuca,BR,75.11,scattered clouds,-8.3989,-35.0639,Temporada Condomínio Reserva Ipojuca
605,Tomatlan,MX,76.41,overcast clouds,19.9333,-105.25,El Salvial
607,Katsuura,JP,82.51,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
608,Port-Gentil,GA,75.24,overcast clouds,-0.7193,8.7815,Fengshui Residence
610,Rosarito,MX,75.04,few clouds,32.3333,-117.0333,Hotel Festival Plaza Rosarito
611,Mandalgovi,MN,75.97,clear sky,45.7625,106.2708,В.Ганбат
612,Biak,ID,76.69,overcast clouds,-0.9131,122.8766,Penginapan Kim
616,Baker City,US,76.71,clear sky,44.7749,-117.8344,Bridge Street Inn
620,Biltine,TD,75.99,overcast clouds,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
622,Ixtapa,MX,76.23,overcast clouds,20.7,-105.2,Hotel Plaza Providencia
625,Tivaouane,SN,80.94,scattered clouds,14.9515,-16.8129,Palais des hôtes de Tivaouane
